binary_name,dependency_name
libEGL_X.cpp-ne.so,libc.so.3
libEGL_X.gpp.so,libcommunication.gpp.so
libEGL_X.gpp.so,libstdc++.so.6
libEGL_X.gpp.so,libm.so.2
libEGL_X.gpp.so,libc.so.3
libexec_cmd.so,libc.so.3
libfd-list.so,libc.so.3
libfilespy.so,libc.so.3
libGLESv2_X_FORWARD.cpp-ne.so,libcommunication.cpp-ne.so
libGLESv2_X_FORWARD.cpp-ne.so,libcpp-ne.so.4
libGLESv2_X_FORWARD.cpp-ne.so,libc.so.3
libGLESv2_X_FORWARD.gpp.so,libcommunication.gpp.so
libGLESv2_X_FORWARD.gpp.so,libstdc++.so.6
libGLESv2_X_FORWARD.gpp.so,libm.so.2
libGLESv2_X_FORWARD.gpp.so,libc.so.3
libheapinfo.so,libc.so.3
libilmClient.cpp-ne.so.1,libcommunication.cpp-ne.so
libilmClient.cpp-ne.so.1,libcpp-ne.so.4
libilmClient.cpp-ne.so.1,libc.so.3
libilmClient.gpp.so.1,libcommunication.gpp.so
libilmClient.gpp.so.1,libstdc++.so.6
libilmClient.gpp.so.1,libm.so.2
libilmClient.gpp.so.1,libc.so.3
libimp_nbt_sys_stringcollation.cpp-ne.so,libsys_colibry.cpp-ne.so.7
libimp_nbt_sys_stringcollation.cpp-ne.so,libsys_icu46_collation.cpp-ne.so
libimp_nbt_sys_stringcollation.cpp-ne.so,libicudata.so.46
libimp_nbt_sys_stringcollation.cpp-ne.so,libicui18n.so.46
libimp_nbt_sys_stringcollation.cpp-ne.so,libicuuc.so.46
libimp_nbt_sys_stringcollation.cpp-ne.so,libcpp-ne.so.4
libimp_nbt_sys_stringcollation.cpp-ne.so,libc.so.3
libimp_nbt_sys_stringcollation.so,libsys_colibry.cpp-ne.so.7
libimp_nbt_sys_stringcollation.so,libsys_icu46_collation.cpp-ne.so
libimp_nbt_sys_stringcollation.so,libicudata.so.46
libimp_nbt_sys_stringcollation.so,libicui18n.so.46
